Timestamp	COM3_Coin	COM3_CH0	COM3_CH1	COM5_Coin	COM5_CH0	COM5_CH1
1750328374.5397048	2	15	12	3	4	9
1750328375.0598798	2	17	12	3	5	9
1750328375.581753	2	21	14	3	5	10
1750328376.1069791	2	21	15	4	6	12
1750328376.63328	3	22	18	4	6	15
1750328377.1642475	3	23	20	4	6	16
1750328377.6857283	3	24	21	5	7	19
1750328378.2071924	4	27	24	6	8	22
1750328378.728548	4	28	26	6	8	25
1750328379.250292	4	28	26	6	8	25
1750328379.7732267	4	31	27	6	8	25
1750328380.2969525	4	32	28	6	8	28
1750328380.8210254	4	32	29	6	8	28
1750328381.3440325	4	34	29	6	9	28
1750328381.8678222	5	36	31	6	10	30
1750328382.391922	6	39	34	7	11	32
1750328382.9230373	6	41	36	7	11	34
1750328383.4451292	6	44	37	7	11	36
1750328383.968638	7	45	39	8	12	40
1750328384.4933429	8	46	41	9	15	41
1750328385.0175824	8	46	43	9	15	41
1750328385.5440042	8	46	46	9	15	44
1750328386.0676649	8	49	46	9	15	46
1750328386.5949883	8	50	48	9	16	46
1750328387.1196132	8	51	49	9	16	47
1750328387.6489968	9	55	51	10	17	49
1750328388.1782942	9	56	53	10	17	52
1750328388.7049546	10	58	54	10	17	54
1750328389.2352474	12	61	59	12	20	56
1750328389.7616866	13	64	62	13	21	57
1750328390.2907932	14	68	64	15	23	60
1750328390.8173041	14	70	64	15	23	61
1750328391.3444922	15	71	65	15	23	62
1750328391.8729703	15	71	66	15	23	63
1750328392.3991964	15	76	67	16	24	66
1750328392.930238	15	77	68	16	25	67
1750328393.464615	15	79	69	16	25	67
1750328393.9940164	16	80	71	17	26	68
1750328394.5220757	16	81	71	17	27	68
1750328395.0571597	16	81	74	17	27	68
1750328395.585183	17	84	78	18	28	69
1750328396.1127777	17	84	78	18	28	69
1750328396.6383266	17	85	82	18	28	70
1750328397.1646302	17	86	84	18	28	72
1750328397.6934423	17	87	85	18	29	72
1750328398.2198057	18	89	86	19	30	75
1750328398.746537	18	90	89	19	31	75
1750328399.2710693	18	91	93	19	31	76
1750328399.7978837	18	91	93	19	31	76
1750328400.3248777	18	92	93	19	31	76
1750328400.8507438	18	92	95	20	32	79
1750328401.3772466	18	93	98	21	33	82
1750328401.907574	18	95	100	21	33	82
1750328402.4336033	20	97	103	22	34	84
1750328402.9607534	20	97	105	22	34	85
1750328403.4947724	21	99	108	25	37	90
1750328404.021968	22	102	111	26	38	91
1750328404.5493283	22	103	113	26	38	92
1750328405.0822732	22	106	113	26	38	92
1750328405.612348	23	108	116	27	39	94
1750328406.143275	23	109	119	28	40	99
1750328406.6714756	23	110	120	28	40	100
1750328407.2046068	23	110	122	28	40	100
1750328407.7307212	23	112	123	29	41	102
1750328408.260159	24	113	125	30	42	104
1750328408.7869682	25	114	127	30	42	106
1750328409.3122635	25	114	128	30	43	109
1750328409.8509927	26	116	129	31	44	110
1750328410.3772008	26	119	130	32	46	115
1750328410.9051945	26	122	132	32	46	116
1750328411.4403007	27	124	134	33	47	117
1750328411.9686368	27	125	134	33	47	117
1750328412.4938855	27	125	134	33	47	117
1750328413.0278034	28	127	136	34	48	118
1750328413.5554378	29	128	141	36	50	121
1750328414.0834281	29	129	142	36	50	122
1750328414.6110165	29	132	142	37	51	123
1750328415.1383593	29	133	144	37	52	124
1750328415.6727226	29	134	145	37	53	125
1750328416.203345	30	138	147	38	55	126
1750328416.7300262	30	139	150	38	55	126
1750328417.2591522	30	140	150	38	56	127
1750328417.781967	30	140	151	38	56	131
1750328418.3038328	31	143	152	39	58	132
1750328418.8361108	32	144	153	40	59	133
1750328419.3647287	33	147	157	42	61	135
1750328419.8921602	34	150	159	44	63	137
1750328420.4252963	34	153	159	44	63	138
1750328420.9544153	35	158	161	46	66	141
1750328421.480453	35	159	162	46	66	141
1750328422.0147786	35	161	163	46	66	142
1750328422.5414174	35	162	163	46	66	144
1750328423.070783	36	165	167	47	67	146
1750328423.6034522	36	167	167	47	67	147
1750328424.1364822	36	167	168	47	67	147
1750328424.6636395	37	169	169	48	68	148
1750328425.1918435	37	170	171	48	68	148
1750328425.7183068	37	170	173	49	69	150
1750328426.2456064	37	172	178	49	69	151
1750328426.772385	37	172	180	49	69	151
1750328427.3000836	37	173	181	49	69	152
1750328427.8275952	37	174	181	49	69	152
1750328428.353069	37	177	183	50	70	153
1750328428.886827	39	180	187	51	71	156
1750328429.4138541	39	182	189	51	71	157
1750328429.942019	39	184	191	51	71	157
1750328430.4751918	39	185	193	51	71	157
1750328431.003358	39	186	193	51	71	160
1750328431.5299473	39	188	195	52	72	161
1750328432.0571084	39	188	196	52	72	163
1750328432.5842612	39	188	199	52	72	165
1750328433.1119184	39	190	202	52	72	167
1750328433.6386628	40	191	203	53	73	169
1750328434.165704	40	194	203	53	75	169
1750328434.694035	40	194	206	53	75	170
1750328435.2219691	40	195	209	53	75	170
1750328435.748399	40	196	210	54	76	171
1750328436.2725697	40	199	210	56	78	175
1750328436.800886	41	200	212	57	79	177
1750328437.3284144	41	201	213	57	79	178
1750328437.8605096	42	203	214	57	80	179
1750328438.3870714	42	205	217	57	80	180
1750328438.9148428	42	205	217	57	80	181
1750328439.4417806	42	206	218	57	81	183
1750328439.9691422	43	209	220	58	82	184
1750328440.5033903	43	209	221	58	83	184
1750328441.030782	43	211	223	58	84	188
1750328441.5573356	43	214	225	58	84	191
1750328442.0851457	43	218	227	59	85	193
1750328442.6126857	43	220	227	59	85	193
1750328443.1384583	43	221	228	60	87	195
1750328443.6661716	43	222	228	60	87	195
1750328444.192256	43	222	229	60	87	196
1750328444.7187946	44	225	232	61	89	197
