Timestamp	COM3_Coin	COM3_CH0	COM3_CH1	COM8_Coin	COM8_CH0	COM8_CH1
1750320756.8529303	0	2	8	0	4	6
1750320757.3735697	0	3	8	0	4	6
1750320757.892576	0	5	9	0	4	6
1750320758.4122193	0	6	10	0	4	7
1750320758.933904	1	8	14	1	6	9
1750320759.46317	1	8	14	1	6	9
1750320759.9845037	2	11	18	2	8	10
1750320760.5029917	2	12	18	2	8	10
1750320761.026149	3	14	19	3	9	11
1750320761.5467348	4	15	23	4	10	12
1750320762.0700316	4	16	25	4	10	12
1750320762.5938954	5	17	28	6	12	15
1750320763.1176589	5	17	30	6	12	15
1750320763.6407018	6	18	32	7	13	19
1750320764.1646984	6	20	34	7	13	20
1750320764.6885223	7	22	36	8	16	23
1750320765.2115343	7	22	37	8	16	24
1750320765.7420592	7	22	39	8	17	24
1750320766.2691164	7	25	40	9	20	26
1750320766.7930436	7	28	40	9	20	26
1750320767.3162692	7	30	41	9	21	27
1750320767.8406267	7	31	43	9	21	30
1750320768.364985	7	31	44	9	21	33
1750320768.8891804	7	31	45	9	21	34
1750320769.4128344	7	31	46	9	21	36
1750320769.936305	7	31	47	9	21	36
1750320770.4653583	8	35	49	9	21	37
1750320770.9888453	9	37	50	10	24	38
1750320771.5152829	9	40	51	10	24	41
1750320772.0395339	9	40	54	10	25	42
1750320772.5679464	10	42	58	11	26	45
1750320773.0987139	10	42	60	11	29	46
1750320773.6243625	10	43	62	11	29	46
1750320774.151701	10	43	64	11	29	46
1750320774.6778116	10	44	68	12	30	49
1750320775.2065034	10	44	69	12	31	50
1750320775.7326984	10	47	69	12	31	50
1750320776.2666485	10	49	69	12	31	50
1750320776.8002367	10	49	70	12	32	50
1750320777.3270419	10	49	71	12	32	50
1750320777.8546343	11	52	74	13	33	53
1750320778.3829224	11	53	79	13	33	55
1750320778.9092562	11	55	79	13	34	57
1750320779.4351723	11	55	80	13	35	57
1750320779.9622629	11	56	80	13	35	59
1750320780.4930398	11	57	81	13	36	61
1750320781.0184965	11	58	82	13	38	61
1750320781.5422847	12	59	84	14	40	63
1750320782.0677907	12	59	85	14	40	64
1750320782.593232	12	64	85	14	41	68
1750320783.123847	12	64	88	14	42	70
1750320783.649102	12	66	92	14	42	71
1750320784.1764884	12	66	93	14	42	73
1750320784.702487	12	67	93	14	42	74
1750320785.228942	12	69	95	14	42	78
1750320785.754698	13	70	97	15	43	80
1750320786.2810647	13	71	98	16	44	81
1750320786.8183334	13	72	102	16	44	82
1750320787.3467393	13	72	103	16	45	84
1750320787.8737886	13	73	104	16	46	84
1750320788.4063344	13	76	106	17	47	85
1750320788.9332125	13	76	109	17	47	86
1750320789.460429	13	77	111	17	50	86
1750320789.98781	14	81	112	18	53	87
1750320790.5159204	14	83	114	18	53	88
1750320791.0446994	15	85	115	19	56	89
1750320791.5718896	16	86	117	20	57	90
1750320792.1061432	16	87	118	20	59	92
1750320792.6467955	16	87	118	20	59	92
1750320793.181357	16	89	120	20	60	93
1750320793.7091532	16	90	121	20	60	93
1750320794.2363179	16	90	122	20	61	94
1750320794.763206	16	91	122	20	61	94
1750320795.2922356	16	91	124	20	61	94
1750320795.824813	16	91	124	20	61	95
1750320796.3515658	16	93	126	20	61	96
1750320796.878881	16	94	128	20	63	97
1750320797.405427	16	96	128	20	64	97
1750320797.932943	17	98	131	21	66	99
1750320798.4615924	18	99	135	22	68	100
1750320798.989909	18	100	135	22	68	101
1750320799.5171442	19	101	137	22	69	103
1750320800.0434723	19	102	140	22	69	103
1750320800.5708005	19	102	141	22	70	104
1750320801.0967226	20	104	144	23	71	107
1750320801.6223092	20	104	144	23	71	107
1750320802.1501982	20	104	145	23	71	107
1750320802.6760876	21	105	149	23	72	108
1750320803.2080138	21	105	150	23	72	109
1750320803.7347085	21	105	152	24	74	110
1750320804.269675	21	105	153	24	74	110
1750320804.7977476	21	107	153	24	76	110
1750320805.3237202	22	109	154	25	77	111
1750320805.8524384	22	112	154	25	77	112
1750320806.3795881	22	114	158	26	78	115
1750320806.911872	22	116	159	27	79	118
1750320807.4393806	23	119	162	28	81	121
1750320807.9664102	23	121	163	28	82	121
1750320808.4942813	23	122	163	28	82	122
1750320809.0216064	23	123	164	28	83	123
1750320809.5507474	23	124	165	28	83	125
1750320810.079295	23	124	165	28	83	125
1750320810.6054902	23	128	168	28	83	125
1750320811.132122	23	129	169	29	84	127
1750320811.6589851	23	129	170	29	84	130
1750320812.1864152	24	130	173	30	85	132
1750320812.713679	24	130	175	30	85	134
1750320813.2411003	24	132	178	31	87	136
1750320813.771919	24	134	179	31	87	136
1750320814.2983224	25	137	180	32	89	138
1750320814.8260937	25	137	181	32	90	139
