,Filename,x(cm),h(cm),date,time,duration,COM,totalcount,mean,std,plate1_move_x(cm),plate1_move_z(cm),Mean_CosTheta_CosSquaredTheta,Std_CosTheta_CosSquaredTheta,Mean_SolidAngle_CosSquaredTheta(sr),Std_SolidAngle_CosSquaredTheta(sr),Mean_Flux,Std_Flux,Mean_Flux_weighted,Std_Flux_weighted
18,output_x8cm_h10cm_20250611_135557_COM3.txt,8.0,10.0,20250611,135557,14911.0237,COM3,2093.0,0.14036594952229872,0.0030681539950064927,8.0,10.0,0.83733,0.11068,0.4482,0.14426,0.0030804540277175087,0.000993853918702339,0.0030804540277175087,0.000993853918702339
19,output_x8cm_h10cm_20250611_135727_COM8.txt,8.0,10.0,20250611,135727,14821.4021,COM8,1719.0,0.11598093003630204,0.0027973618557488407,8.0,10.0,0.83733,0.11068,0.4482,0.14426,0.0025363884434694787,0.0008187606343106642,0.0027879471960037265,0.0008997244337614097
20,output_x9cm_h32.5cm_20250616_173228_COM5.txt,9.0,32.5,20250616,173228,10463.4028,COM5,216.0,0.020643379991067533,0.001404604098458206,9.0,32.5,0.95615,0.029659,0.0818,0.0053117,0.0022424669915730483,0.00022547328717440732,0.002719231334776635,0.00025764911987388267
21,output_x9cm_h32.5cm_20250616_173246_COM19.txt,9.0,32.5,20250616,173246,10446.0157,COM19,322.0,0.030825149918164492,0.0017178184448761993,9.0,32.5,0.95615,0.029659,0.0818,0.0053117,0.0034871821415849015,0.0003090726064457153,0.003898921509270001,0.00033640407729941925
22,output_x9cm_h32.5cm_20250620_153614_COM3.txt,9.0,32.5,20250620,153614,6043.4239,COM3,219.0,0.03623773602907451,0.002448719274341941,9.0,32.5,0.95615,0.029659,0.0818,0.0053117,0.004148867485216934,0.0004029180644426817,0.004148867485216934,0.0004029180644426817
23,output_x9cm_h32.5cm_20250620_153633_COM8.txt,9.0,32.5,20250620,153633,6078.861,COM8,237.0,0.038987566914262396,0.002532514613895704,9.0,32.5,0.95615,0.029659,0.0818,0.0053117,0.004485032630105427,0.00042522853841815553,0.00494837021126347,0.00045669173322566314
24,output_x10cm_h10cm_20250612_122027_COM19.txt,10.0,10.0,20250612,122027,90552.287,COM19,9935.0,0.10971561656968422,0.001100739401000319,10.0,10.0,0.79472,0.11595,0.35753,0.12873,0.003004380515472386,0.0010821799707150014,0.003339675037906339,0.0012029027291031098
25,output_x10cm_h10cm_20250612_122556_COM8.txt,10.0,10.0,20250612,122556,90218.161,COM8,8539.0,0.09464834912784358,0.0010242584052793306,10.0,10.0,0.79472,0.11595,0.35753,0.12873,0.002582953853602315,0.0009304474412071244,0.00284030449327318,0.0010231061493103702
26,output_x12cm_h10cm_20250612_115015_COM3.txt,12.0,10.0,20250612,115015,92350.8411,COM3,6293.0,0.06814231386572613,0.000858989807523204,12.0,10.0,0.74396,0.11788,0.27991,0.10641,0.0023522672954065997,0.0008947665640138307,0.0023522672954065997,0.0008947665640138307
27,output_x12cm_h10cm_20250612_121053_COM4.txt,12.0,10.0,20250612,121053,91114.9992,COM4,5090.0,0.05586346973265407,0.0007830130774664801,12.0,10.0,0.74396,0.11788,0.27991,0.10641,0.001913596146356117,0.0007280151194581828,0.0021088126338749684,0.0008022253698788999
