plate1_move_x(cm)	plate1_move_z(cm)	Coincidence_CosSquaredTheta(/s)	Mean_CosTheta_CosSquaredTheta	Std_CosTheta_CosSquaredTheta	Mean_SolidAngle_CosSquaredTheta(sr)	Std_SolidAngle_CosSquaredTheta(sr)	Mean_CosSquaredTheta_CosSquaredTheta
3.00	32.50	2.8970e-02	9.8233e-01	1.5058e-02	8.9449e-02	2.3523e-03	9.6521e-01
4.00	32.50	2.8021e-02	9.7980e-01	1.7200e-02	8.8634e-02	2.9012e-03	9.6030e-01
5.00	32.50	2.7940e-02	9.7643e-01	1.9340e-02	8.7627e-02	3.4336e-03	9.5380e-01
6.00	32.50	2.7477e-02	9.7246e-01	2.1954e-02	8.6459e-02	3.9418e-03	9.4616e-01
7.00	32.50	2.6262e-02	9.6787e-01	2.4457e-02	8.5052e-02	4.4557e-03	9.3738e-01
8.00	32.50	2.5926e-02	9.6314e-01	2.6438e-02	8.3493e-02	4.9046e-03	9.2834e-01
9.00	32.50	2.6019e-02	9.5615e-01	2.9659e-02	8.1800e-02	5.3117e-03	9.1510e-01
10.00	32.50	2.4074e-02	9.4951e-01	3.1636e-02	7.9966e-02	5.6700e-03	9.0257e-01
11.00	32.50	2.2604e-02	9.4185e-01	3.3331e-02	7.8017e-02	5.9610e-03	8.8819e-01
12.00	32.50	2.2500e-02	9.3489e-01	3.5542e-02	7.5897e-02	6.2213e-03	8.7528e-01
13.00	32.50	2.0660e-02	9.2644e-01	3.7231e-02	7.3821e-02	6.4333e-03	8.5967e-01
14.00	32.50	2.0822e-02	9.1910e-01	3.7742e-02	7.1573e-02	6.5687e-03	8.4617e-01
15.00	32.50	1.8715e-02	9.0991e-01	3.9644e-02	6.9342e-02	6.6767e-03	8.2950e-01
16.00	32.50	1.7801e-02	8.9877e-01	4.2104e-02	6.7016e-02	6.7417e-03	8.0956e-01
17.00	32.50	1.7384e-02	8.9110e-01	4.1786e-02	6.4737e-02	6.7695e-03	7.9581e-01
18.00	32.50	1.5995e-02	8.7924e-01	4.3151e-02	6.2370e-02	6.7486e-03	7.7493e-01
19.00	32.50	1.4988e-02	8.6785e-01	4.5277e-02	6.0075e-02	6.6835e-03	7.5521e-01
20.00	32.50	1.3935e-02	8.5739e-01	4.4533e-02	5.7840e-02	6.6270e-03	7.3710e-01
21.00	32.50	1.3148e-02	8.4883e-01	4.6248e-02	5.5581e-02	6.4960e-03	7.2266e-01
22.00	32.50	1.2384e-02	8.3539e-01	4.6769e-02	5.3380e-02	6.3568e-03	7.0007e-01
23.00	32.50	1.1771e-02	8.2766e-01	4.6047e-02	5.1170e-02	6.2289e-03	6.8714e-01
24.00	32.50	1.1007e-02	8.1325e-01	4.6700e-02	4.9074e-02	6.0601e-03	6.6356e-01
25.00	32.50	1.0035e-02	8.0164e-01	4.5990e-02	4.7046e-02	5.8597e-03	6.4474e-01
26.00	32.50	9.2130e-03	7.9227e-01	4.6310e-02	4.5003e-02	5.7027e-03	6.2983e-01
27.00	32.50	8.6227e-03	7.8177e-01	4.4808e-02	4.3067e-02	5.5168e-03	6.1318e-01
28.00	32.50	8.6343e-03	7.7046e-01	4.5517e-02	4.1212e-02	5.3099e-03	5.9567e-01
29.00	32.50	7.2801e-03	7.5675e-01	4.4666e-02	3.9390e-02	5.1109e-03	5.7467e-01
30.00	32.50	7.3148e-03	7.4488e-01	4.4549e-02	3.7707e-02	4.9202e-03	5.5683e-01
31.00	32.50	7.0255e-03	7.3439e-01	4.4907e-02	3.6023e-02	4.7090e-03	5.4134e-01
32.00	32.50	5.7060e-03	7.2734e-01	4.1823e-02	3.4378e-02	4.5026e-03	5.3077e-01
33.00	32.50	5.4167e-03	7.1083e-01	4.2352e-02	3.2939e-02	4.3088e-03	5.0708e-01
34.00	32.50	5.2431e-03	6.9995e-01	4.1626e-02	3.1434e-02	4.1344e-03	4.9167e-01
35.00	32.50	5.0116e-03	6.9758e-01	3.9595e-02	3.0048e-02	3.9554e-03	4.8819e-01
36.00	32.50	4.6875e-03	6.8306e-01	4.1201e-02	2.8696e-02	3.7752e-03	4.6827e-01
37.00	32.50	4.0509e-03	6.7334e-01	3.9716e-02	2.7431e-02	3.5804e-03	4.5496e-01
38.00	32.50	4.0856e-03	6.6331e-01	3.8504e-02	2.6224e-02	3.4162e-03	4.4146e-01
39.00	32.50	3.2755e-03	6.5230e-01	4.0181e-02	2.5074e-02	3.2642e-03	4.2711e-01
40.00	32.50	3.3218e-03	6.3915e-01	4.1617e-02	2.3961e-02	3.1015e-03	4.1024e-01
41.00	32.50	3.1944e-03	6.3358e-01	3.8221e-02	2.2926e-02	2.9569e-03	4.0289e-01
42.00	32.50	2.9861e-03	6.2225e-01	3.7657e-02	2.1894e-02	2.8109e-03	3.8861e-01
43.00	32.50	2.8704e-03	6.1483e-01	3.6562e-02	2.0967e-02	2.6697e-03	3.7936e-01
44.00	32.50	2.4306e-03	6.0682e-01	3.5329e-02	2.0073e-02	2.5427e-03	3.6948e-01
45.00	32.50	2.0833e-03	5.9640e-01	3.4306e-02	1.9200e-02	2.4203e-03	3.5687e-01
46.00	32.50	2.2685e-03	5.8985e-01	3.4556e-02	1.8376e-02	2.3088e-03	3.4912e-01
47.00	32.50	2.0370e-03	5.7291e-01	3.4557e-02	1.7602e-02	2.1820e-03	3.2942e-01
48.00	32.50	1.7593e-03	5.7020e-01	3.0730e-02	1.6866e-02	2.0837e-03	3.2608e-01
