1750390673.541685	1	142	104
1750390678.5550761	1	154	114
1750390683.5688524	1	166	121
1750390688.587132	2	184	134
1750390693.6046214	2	200	141
1750390698.61725	3	213	151
1750390703.6310425	3	233	162
1750390708.645778	3	249	171
1750390713.6571026	3	265	176
1750390718.6710212	3	281	189
1750390723.6851318	3	299	199
1750390728.6994786	3	320	212
1750390733.7178361	3	328	224
1750390738.7322564	3	340	228
1750390743.7573826	3	354	236
1750390748.772325	3	367	241
1750390753.797118	3	375	243
1750390758.8208082	3	390	253
1750390763.8346167	3	404	266
1750390768.8571444	3	418	272
1750390773.8729312	3	429	283
1750390778.8873231	3	441	290
1750390783.9021974	5	457	304
1750390788.922501	5	466	319
1750390793.937369	6	480	340
1750390798.951975	6	494	348
1750390803.9662535	6	506	358
1750390808.97985	6	520	372
1750390813.9938638	6	525	389
1750390819.0168524	6	545	401
1750390824.0344076	6	561	411
1750390829.0490088	7	575	424
1750390834.062001	7	588	435
1750390839.0838141	8	604	445
1750390844.0985324	8	623	453
1750390849.1122813	8	637	467
1750390854.1270328	8	651	474
1750390859.1420627	8	666	486
1750390864.1557367	8	685	497
1750390869.1738193	8	699	509
1750390874.1949742	8	713	518
1750390879.2181933	8	727	528
1750390884.2383902	9	738	546
1750390889.2521942	9	753	558
1750390894.268399	9	769	564
1750390899.2835045	10	784	574
1750390904.2979777	11	798	586
1750390909.3114188	11	813	595
1750390914.3237078	11	825	600
1750390919.3385532	11	843	610
1750390924.3616335	11	858	617
1750390929.3753188	11	873	626
1750390934.388735	11	881	640
1750390939.4028823	11	895	654
1750390944.415681	12	909	663
1750390949.4301107	12	919	669
1750390954.4443643	12	930	685
1750390959.4633641	13	950	693
1750390964.4759521	13	965	704
1750390969.489334	13	975	717
1750390974.5035784	13	986	728
1750390979.51517	13	993	740
1750390984.5302336	13	1003	749
1750390989.5442314	13	1017	763
1750390994.5719163	13	1039	771
1750390999.596704	13	1059	784
1750391004.6123254	13	1071	791
1750391009.6352649	13	1085	797
1750391014.6528676	13	1095	810
1750391019.6648457	13	1111	825
1750391024.6796267	13	1126	834
1750391029.6932383	13	1141	842
1750391034.7084517	13	1155	852
1750391039.7226558	13	1168	860
1750391044.7358897	13	1186	871
1750391049.751665	13	1198	886
1750391054.765713	13	1212	896
1750391059.7787552	13	1225	912
1750391064.7909458	13	1239	925
1750391069.806178	13	1250	935
1750391074.8200054	13	1261	944
1750391079.8343966	13	1274	958
1750391084.8483753	13	1289	970
1750391089.860906	14	1305	984
1750391094.8854055	14	1318	992
1750391099.9064126	14	1331	1003
1750391104.9196754	14	1339	1007
1750391109.934161	15	1348	1013
1750391114.9474509	15	1361	1028
1750391119.9609687	15	1378	1035
1750391124.9761672	15	1391	1045
1750391129.991447	16	1410	1056
1750391135.0068622	16	1426	1063
1750391140.0199487	16	1439	1073
1750391145.0328922	16	1457	1082
1750391150.046524	16	1461	1092
1750391155.060853	16	1474	1099
1750391160.0738993	17	1489	1106
1750391165.095257	17	1503	1112
1750391170.108672	17	1514	1126
1750391175.124587	17	1531	1134
1750391180.1390376	17	1544	1140
1750391185.16664	18	1562	1155
1750391190.1900184	18	1571	1165
1750391195.2039583	18	1588	1175
1750391200.217182	19	1604	1186
1750391205.2292812	19	1614	1196
1750391210.242167	19	1628	1206
1750391215.2598283	19	1640	1218
1750391220.2744186	19	1650	1229
1750391225.2874286	19	1661	1236
1750391230.3024127	19	1670	1251
1750391235.318096	19	1685	1259
1750391240.3313994	19	1698	1267
1750391245.3468869	19	1711	1273
1750391250.3706732	19	1724	1287
1750391255.3879666	19	1733	1297
1750391260.4010763	19	1744	1307
1750391265.4142985	19	1759	1315
1750391270.4267936	19	1771	1327
1750391275.440143	19	1787	1342
1750391280.455498	19	1798	1354
1750391285.4681737	19	1817	1364
1750391290.4818704	20	1827	1376
1750391295.498646	21	1842	1393
1750391300.512758	21	1856	1400
1750391305.5262089	21	1868	1412
1750391310.5392807	21	1884	1419
1750391315.5518966	21	1901	1431
1750391320.5665538	21	1920	1438
1750391325.580918	21	1930	1444
1750391330.5963583	21	1943	1451
1750391335.6106496	21	1957	1467
1750391340.6252534	22	1970	1480
1750391345.6396744	22	1983	1492
1750391350.653458	22	1996	1501
1750391355.6681695	22	2009	1516
1750391360.6828835	22	2020	1528
1750391365.6991315	22	2035	1534
1750391370.713649	22	2057	1544
1750391375.7264862	22	2074	1556
1750391380.7405322	22	2085	1564
1750391385.7548478	22	2106	1576
1750391390.7706337	22	2119	1590
1750391395.7865734	22	2131	1600
1750391400.7995684	22	2148	1616
1750391405.8119943	23	2165	1621
1750391410.82695	23	2177	1632
1750391415.841686	23	2191	1639
1750391420.8570583	23	2203	1648
1750391425.8715115	24	2222	1656
1750391430.884316	24	2238	1674
1750391435.896822	24	2263	1685
1750391440.9104064	26	2280	1696
1750391445.925381	27	2299	1709
1750391450.9396129	27	2309	1720
1750391455.956266	27	2322	1730
1750391460.96858	27	2341	1734
1750391465.9837935	27	2357	1751
1750391470.9987025	27	2369	1767
1750391476.0120916	27	2387	1777
1750391481.0327857	28	2404	1790
1750391486.0459807	28	2421	1799
1750391491.0602565	29	2433	1807
1750391496.074772	29	2445	1817
1750391501.0876772	29	2456	1822
1750391506.1032865	29	2469	1834
1750391511.1176374	29	2481	1842
1750391516.1309445	29	2495	1853
1750391521.1482894	30	2505	1860
1750391526.1612918	31	2524	1869
1750391531.176765	31	2538	1883
1750391536.1895144	33	2557	1897
1750391541.202069	34	2572	1911
1750391546.2146182	34	2585	1921
1750391551.227069	35	2602	1934
