1750062717.8986065	0	2	4
1750062722.9153705	0	8	11
1750062727.9281404	0	16	20
1750062732.9410875	0	21	24
1750062737.9544706	0	26	32
1750062742.9672303	0	30	36
1750062747.9847848	0	33	40
1750062752.996741	0	37	46
1750062758.009231	0	43	50
1750062763.0211856	0	46	58
1750062768.033083	0	51	67
1750062773.0549452	0	52	77
1750062778.0645828	0	56	79
1750062783.07994	0	57	86
1750062788.0926204	0	60	89
1750062793.1062963	0	63	95
1750062798.119895	1	69	104
1750062803.1327188	1	74	108
1750062808.1459212	1	76	114
1750062813.1591008	1	78	118
1750062818.1725967	1	80	125
1750062823.1860175	1	83	131
1750062828.1978939	1	86	136
1750062833.2099988	2	93	155
1750062838.2282746	2	104	164
1750062843.2427995	2	112	176
1750062848.2623737	2	121	190
1750062853.274632	2	135	203
1750062858.290051	2	141	213
1750062863.3033197	2	149	227
1750062868.3167431	2	156	233
1750062873.3333938	2	163	243
1750062878.3475432	2	171	250
1750062883.3611858	2	183	264
1750062888.3748302	3	192	268
1750062893.3882065	3	200	275
1750062898.4047713	3	209	283
1750062903.417664	3	217	295
1750062908.4305663	3	223	305
1750062913.4445395	3	235	318
1750062918.4577165	3	245	326
1750062923.4712055	3	252	336
1750062928.4844322	4	255	345
1750062933.4979162	4	265	355
1750062938.5116565	4	273	362
1750062943.525764	4	282	376
1750062948.539827	4	292	388
1750062953.5523212	4	301	394
1750062958.5655534	4	314	401
1750062963.5789673	5	318	410
1750062968.5920808	5	325	421
1750062973.6053421	5	330	428
1750062978.6192238	5	336	433
1750062983.6403165	6	343	445
1750062988.653378	6	349	456
1750062993.6730502	6	359	469
1750062998.686218	6	365	478
1750063003.7014704	6	376	492
1750063008.71522	6	384	505
1750063013.7292373	6	390	512
1750063018.741094	7	402	526
1750063023.751437	7	411	536
1750063028.764932	7	419	550
1750063033.777154	7	423	561
1750063038.7882967	7	436	571
1750063043.8097038	7	443	578
1750063048.823309	8	454	592
1750063053.8365107	8	461	603
1750063058.8510406	8	475	613
1750063063.8623383	8	482	626
1750063068.8754401	8	490	636
1750063073.8884325	8	496	646
1750063078.9020298	8	502	659
1750063083.9157279	9	508	666
1750063088.9275184	9	519	673
1750063093.9411452	9	528	680
1750063098.9590364	9	538	692
1750063103.9723775	11	548	707
1750063108.9871628	11	552	711
1750063114.0008004	12	564	723
1750063119.0149033	12	573	738
1750063124.0284555	12	584	752
1750063129.0477953	12	588	761
1750063134.0609896	12	596	774
1750063139.083248	12	603	785
1750063144.0966792	12	616	795
1750063149.1123915	12	627	804
1750063154.1256971	12	638	812
1750063159.1396968	12	642	826
1750063164.154968	12	651	831
1750063169.1691613	12	656	841
1750063174.182944	12	669	852
1750063179.1965435	12	675	861
1750063184.2100396	13	684	868
1750063189.2225938	13	693	878
1750063194.2353303	13	704	890
1750063199.2486136	14	715	900
1750063204.2621973	14	724	913
