1749882572.6693208	0	6	9
1749882577.6801322	0	20	24
1749882582.6930919	0	34	33
1749882587.7047162	0	50	58
1749882592.720392	0	64	77
1749882597.7346776	0	74	94
1749882602.747078	0	91	110
1749882607.7604098	0	101	124
1749882612.7735333	0	116	139
1749882617.788245	0	137	153
1749882622.8005953	0	156	174
1749882627.8111057	0	175	187
1749882632.8233225	0	186	204
1749882637.835894	0	202	218
1749882642.847146	0	215	232
1749882647.8587718	0	221	244
1749882652.8705275	0	238	260
1749882657.8842337	0	253	270
1749882662.8948588	0	267	283
1749882667.9088912	0	289	292
1749882672.9193614	0	300	304
1749882677.9300568	0	317	319
1749882682.9401503	0	327	330
1749882687.9508264	0	339	339
1749882692.9609437	0	351	353
1749882697.9713411	0	370	374
1749882702.9815786	0	385	393
1749882707.9929261	0	400	410
1749882713.003338	1	420	424
1749882718.0144796	1	435	438
1749882723.0259426	1	448	452
1749882728.0379038	2	463	471
1749882733.0514555	3	477	487
1749882738.0683117	3	486	498
1749882743.0818741	3	500	510
1749882748.092532	4	517	524
1749882753.103425	4	531	539
1749882758.1139684	4	538	553
1749882763.124149	4	551	567
1749882768.1349897	4	565	580
1749882773.1450148	4	577	595
1749882778.1559265	5	590	611
1749882783.166549	5	603	629
1749882788.1771042	5	615	650
1749882793.1876452	5	630	664
1749882798.198028	5	646	676
1749882803.2087972	5	654	690
1749882808.2221818	5	665	698
1749882813.2329402	5	679	714
1749882818.2440367	6	695	728
1749882823.2573843	6	714	738
1749882828.2675197	6	725	759
1749882833.2780342	6	742	775
1749882838.2882166	6	756	788
1749882843.298679	6	766	803
1749882848.3089833	7	778	817
1749882853.3190346	7	798	833
1749882858.3291242	7	810	845
1749882863.3396761	7	825	856
1749882868.35056	7	836	872
1749882873.361031	7	855	889
1749882878.371425	7	870	898
1749882883.3818243	7	888	919
1749882888.3921552	7	907	934
1749882893.4033577	7	921	949
1749882898.414249	7	930	960
1749882903.428828	7	946	971
1749882908.441394	7	962	987
1749882913.4523966	7	978	1002
1749882918.4631221	7	993	1020
1749882923.4734898	7	1007	1036
1749882928.4840326	8	1023	1049
1749882933.500897	8	1041	1068
1749882938.5130224	8	1053	1083
1749882943.535396	8	1066	1095
1749882948.5465894	8	1081	1106
1749882953.5619905	8	1098	1121
1749882958.5745618	8	1113	1139
1749882963.5872965	8	1128	1152
1749882968.5985508	8	1146	1166
1749882973.61019	9	1169	1180
1749882978.6216655	9	1179	1197
1749882983.6336064	9	1196	1211
1749882988.646771	10	1211	1225
1749882993.6592536	10	1230	1242
1749882998.6788826	10	1242	1260
1749883003.6910467	10	1257	1278
1749883008.703265	10	1274	1291
1749883013.7155054	10	1298	1307
1749883018.727704	10	1315	1323
1749883023.7399483	10	1325	1344
1749883028.7519205	10	1336	1357
1749883033.766884	10	1352	1366
1749883038.7840269	10	1370	1379
1749883043.7966385	10	1388	1392
1749883048.8087735	10	1399	1413
1749883053.8210452	10	1414	1425
1749883058.8332725	10	1426	1441
1749883063.8452134	10	1441	1453
1749883068.858032	10	1449	1465
1749883073.8705378	10	1457	1477
1749883078.8885548	10	1466	1492
1749883083.900729	10	1478	1513
1749883088.912489	10	1489	1528
1749883093.9243987	10	1502	1544
1749883098.936405	10	1519	1560
1749883103.9485624	10	1534	1575
1749883108.960876	10	1543	1585
1749883113.9727204	10	1556	1599
1749883118.984855	10	1568	1607
1749883123.996753	10	1584	1625
1749883129.0114954	10	1599	1638
1749883134.0233305	10	1610	1656
1749883139.0353045	10	1628	1679
1749883144.0472417	10	1639	1692
1749883149.0593948	10	1658	1705
1749883154.071429	10	1669	1721
1749883159.0834107	10	1686	1736
1749883164.098922	11	1706	1750
1749883169.111366	11	1723	1765
1749883174.1253624	11	1736	1783
1749883179.1406434	11	1752	1799
1749883184.1548488	11	1764	1816
1749883189.1694221	11	1782	1835
1749883194.1838658	12	1799	1854
1749883199.1965907	12	1810	1874
1749883204.2107658	12	1828	1885
1749883209.226795	12	1842	1898
1749883214.242152	12	1853	1911
1749883219.2565067	12	1864	1930
1749883224.270575	12	1880	1947
1749883229.2900114	12	1894	1958
1749883234.3018646	12	1904	1977
1749883239.3138623	12	1916	1988
1749883244.3272657	12	1933	2008
1749883249.3419	12	1947	2022
1749883254.3544755	12	1956	2034
1749883259.3667822	12	1968	2050
1749883264.3800325	12	1980	2071
1749883269.3920438	12	1996	2083
1749883274.4065347	12	2010	2097
1749883279.420937	12	2026	2114
1749883284.4358718	12	2036	2129
1749883289.4497821	12	2048	2144
1749883294.4690378	13	2062	2153
1749883299.482265	13	2082	2169
1749883304.496326	13	2097	2183
1749883309.5109012	13	2111	2201
1749883314.5237625	13	2130	2217
1749883319.5385063	13	2148	2233
1749883324.5515606	13	2157	2247
1749883329.565133	13	2173	2259
1749883334.5809124	13	2184	2270
1749883339.5947573	14	2204	2284
1749883344.6083813	14	2215	2298
1749883349.631708	15	2229	2313
1749883354.65128	15	2240	2329
1749883359.666589	15	2253	2341
1749883364.6872308	16	2264	2358
1749883369.701886	16	2278	2380
1749883374.7175171	16	2296	2395
1749883379.7314415	16	2312	2404
1749883384.7451515	16	2322	2421
1749883389.7590091	16	2338	2437
1749883394.7714317	17	2351	2447
1749883399.7836301	17	2358	2461
1749883404.7958016	17	2373	2478
1749883409.8076904	17	2391	2502
1749883414.822249	17	2404	2518
1749883419.842708	17	2415	2538
1749883424.8546433	17	2426	2552
1749883429.8665648	17	2440	2559
1749883434.8784783	17	2457	2571
1749883439.8907127	18	2469	2583
1749883444.9027994	18	2483	2599
