1750063473.4160936	16	1389	1802
1750063478.4305844	16	1399	1813
1750063483.4444005	18	1409	1839
1750063488.459168	18	1415	1854
1750063493.4747846	18	1421	1870
1750063498.489359	18	1435	1890
1750063503.5052497	18	1447	1905
1750063508.521468	18	1460	1911
1750063513.5356433	18	1465	1921
1750063518.5508173	18	1474	1937
1750063523.5657153	18	1493	1944
1750063528.5807476	18	1503	1954
1750063533.5954897	18	1510	1966
1750063538.621124	18	1521	1989
1750063543.634503	18	1529	2006
1750063548.6481884	18	1534	2018
1750063553.6628618	18	1546	2030
1750063558.678012	19	1554	2048
1750063563.6937683	19	1559	2057
1750063568.7081633	19	1570	2070
1750063573.7207127	20	1585	2082
1750063578.7353196	20	1589	2098
1750063583.7505007	21	1598	2114
1750063588.767456	21	1613	2132
1750063593.7834563	21	1626	2146
1750063598.7986157	21	1634	2153
1750063603.8121834	21	1642	2165
1750063608.8277369	21	1649	2180
1750063613.843036	22	1658	2197
1750063618.8588738	23	1666	2217
1750063623.881072	23	1676	2226
1750063628.8955963	23	1690	2239
1750063633.9110782	23	1702	2252
1750063638.9257975	23	1714	2257
1750063643.941363	23	1726	2268
1750063648.9543805	23	1738	2274
1750063653.968108	23	1749	2288
1750063658.9828155	23	1755	2298
1750063663.9961388	23	1764	2311
1750063669.0121567	23	1776	2326
1750063674.0297887	23	1792	2335
1750063679.055005	24	1803	2351
1750063684.0698025	24	1811	2358
1750063689.0851295	24	1819	2368
1750063694.0990036	24	1829	2382
1750063699.114433	24	1840	2394
1750063704.1319664	24	1850	2403
1750063709.146949	24	1857	2412
1750063714.1611342	24	1869	2433
1750063719.1757298	24	1881	2455
1750063724.191151	24	1890	2472
1750063729.2085297	24	1901	2487
1750063734.2231658	25	1915	2497
1750063739.2374775	26	1922	2516
1750063744.2523406	26	1937	2527
1750063749.2673116	26	1952	2539
1750063754.2833564	26	1962	2557
1750063759.2984467	26	1972	2573
1750063764.3139427	26	1982	2583
1750063769.3281617	26	1992	2591
1750063774.3425994	26	2004	2604
1750063779.3573568	26	2018	2618
1750063784.3727608	26	2025	2631
1750063789.3882637	26	2038	2645
1750063794.4023063	26	2049	2653
1750063799.4160268	26	2062	2664
1750063804.4307592	26	2069	2676
1750063809.4465992	26	2081	2691
